IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0001,,,,,,0.000128183,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000135272,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0002,,,,,,0.000155242,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0002,,,,,,0.000169492,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,EUR,Europe,Year,2019,true,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0002,,,,,,0.00018736,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0002,,,,,,0.000194166,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0002,,,,,,0.000198262,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0002,,,,,,0.000219126,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,AMR,Americas,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0002,,,,,,0.000229131,,,EN,2020-12-06T05:00:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,GLOBAL,Global,WHO region,WPR,Western Pacific,Year,2019,true,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0002,,,,,,0.000231388,,,EN,2020-12-06T05:00:00.000Z
